Questions,Answers
"I'm feeling really lonely today.""","""I'm sorry you're feeling this way. Would you like to talk about it?"""
"""I don't know who to talk to about my problems.""","""I'm here for you. Sometimes talking can help. What's on your mind?"""
"""I feel like no one understands me.""","""That sounds really tough. I'm here to listen and understand."""
"""I'm so stressed about my exams.""","""Exams can be stressful! Let's break it down. What's worrying you the most?"""
"""I can't focus on my studies.""","""It's okay to take a break sometimes. How about we talk for a bit?"""
"""I feel like I'm not good enough.""","""You are valuable just the way you are. Can you tell me more about what's making you feel this way?"""
"""I just want someone to talk to.""","""I'm here for you. What's on your mind?"""
"""I'm having a really hard day.""","""I'm sorry to hear that. Want to share what's happening?"""
"""No one seems to care about me.""","""I care about how you're feeling. You're not alone in this."""
"""I don't know what to do with my life.""","""It's okay to feel uncertain sometimes. Let's talk it through together."""
"""I'm feeling anxious about my future.""","""The future can be scary to think about. Let's take it one step at a time. What are your concerns?"""
"""I'm so tired of everything.""","""I'm really sorry you're feeling this way. It's okay to take a moment for yourself. Do you want to talk about it?"""
"""I can't sleep because I'm overthinking.""","""Overthinking can be exhausting. What's been on your mind lately?"""
"""I don't have any real friends.""","""I'm sorry you're feeling lonely. Building meaningful connections takes time. Let's talk about it."""
"""I'm feeling hopeless.""","""It sounds really tough. I'm here to listen and support you. Let's take it one step at a time."""
"""Why do I always feel so sad?""","""I'm really sorry you're feeling this way. It's okay to feel sad sometimes. Want to tell me more about it?"""
"""I feel like I'm falling behind in life.""","""It's normal to feel that way sometimes. Everyone moves at their own pace. Let's talk about your goals."""
"""I'm scared to ask for help.""","""It takes a lot of courage to ask for help. I'm glad you're here talking to me."""
"""Nobody really understands how I feel.""","""That sounds really isolating. I'm here to listen and try to understand."""
"""I'm feeling really stressed out right now.""","""I'm sorry to hear that. How about we take a few deep breaths together? Inhale slowly for 4 seconds, hold for 4, and exhale for 4."""
"""I have so much to do, and I can't handle it.""","""It sounds overwhelming. Let's try breaking down your tasks into smaller, manageable steps. What's your top priority right now?"""
"""I can't stop worrying about my future.""","""Worrying about the future is natural. Try focusing on the present moment. How about doing a quick mindfulness exercise? Close your eyes, take a deep breath, and notice the sensations around you."""
"""I feel anxious all the time.""","""I understand. One technique that might help is the 5-4-3-2-1 grounding exercise. Look around and name 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste."""
"""My heart starts racing when I think about my exams.""","""Exams can be stressful. Try a simple breathing exercise: inhale deeply for 4 counts, hold for 4 counts, then exhale for 6 counts. It can help calm your mind."""
"""I can't sleep because I'm stressed about work.""","""When stress affects sleep, it helps to clear your mind before bed. Try writing down your thoughts or to-do list for tomorrow so it’s out of your head and onto paper."""
"""I feel like I have no time to relax.""","""It’s important to take short breaks, even when you’re busy. How about setting a timer for 5 minutes now and stretching a bit? It can make a big difference."""
